name,avatar,bio,twitter,url,title,abstract,description,notes,audience_level,state,tags,category,lang,track,day,start,end,sponsored
Daniel Domene López,https://secure.gravatar.com/avatar/6030117449bda0ade7b38ceeac70f982?s=500,"Hi ! Soy Daniel Domene, amante del buen humor y las risas, no tengo miembro favorito de One Direction, pero si hay que escoger uno... el moreno parece el más simpático. Me encanta la divulgación y la docencia, además de hacer mis charlas lo más entretenidas posibles. También en mi tiempo libre soy estudiante de Doctorado en Ingeniería Química en la Universidad de Alicante, trabajando en el área de materiales biodegradables. Este es mi quinto aniversario en este congreso y siempre vuelvo porque, aunque no emplee Python todos los días, no me pierdo la oportunidad de volver a reencontrarme con la comunidad ¡Nos vemos en Málaga!",DanielDomeneL,https://www.linkedin.com/in/danieldomenelopez/,Python ayudando a salvar a las ballenas: cómo el lenguaje puede ser útil en el área del diseño de biopolímeros,Hace poco se encontraron 8Kg de plástico en el estómago de una ballena. Plásticos provenientes de la contaminación de los océanos debida a la actividad humana ¿qué opinas si te digo que sabemos cómo solucionar el problema?¿qué opinas si te digo que Python puede ayudarnos a ello? ven y te lo cuento.,"La contaminación medioambiental debida a los vertidos de plásticos es un tema cada vez de mayor actualidad. Muy conocidos son ya los casos en los que el plástico vertido en los mares es el principal causante de daños en animales y vegetación, como el caso de la gran isla de plástico del pacífico, o la muerte de ballenas por la ingesta de bolsas de plástico y otros materiales. Ciertamente, los plásticos están muy asimilados en nuestro modo de vida, por lo que acciones orientadas a su eliminación no pueden tener una gran aceptación en el corto plazo. Por este motivo, desde hace unos años, investigadores de todo el mundo están trabajando para diseñar materiales que puedan sustituir a los plásticos convencionales y que, además, sean biodegradables. En nuestro Grupo de Investigación trabajamos para la elaboración de biopolímeros basados en almidón de patata con los que poder sustituir los embalajes convencionales empleados en productos alimenticios, y que son completamente biodegradables. Para la caracterización de los materiales que sintetizamos es preciso analizar multitud de variables calculadas a partir de una gran cantidad de datos para lo que Python se convierte en una poderosa herramienta.

La charla quedará dividida en dos partes:

- Parte I: introducción a la ciencia de materiales y presentación de la línea de investigación del Grupo. (5 min)
- Parte II: exposición de las herramientas de Python empleadas para el análisis de datos de ensayos a tracción de materiales y aplicación de técnicas de optimización a los criterios de selección de materiales. Los ensayos a tracción nos proporcionan información sobre la elasticidad del material y su resistencia mecánica a partir de una curva de esfuerzo vs deformación que puede ser analizada utilizando Python. También con Python se pueden realizar cálculos de optimización matemática que permitan realizar una selección de los mejores materiales atendiendo a estos criterios de elasticidad y resistencia. (20min)

El objetivo de la charla es mostrar cómo Python es una potente herramienta en el campo de la ciencia y la ingeniería, utilizando para ello un caso de estudio, lo que le aporta un verdadero valor añadido, pues muestra el empleo de Python en un entorno real.

La charla está dirigida a todos los niveles, pues se han intentado implementar los programas de la manera más sencilla posible. Además, la charla se dirige a todos los públicos, pues se introducirán funciones de Numpy, Scipy, Matplotlib, etc. que pueden resultar de interés en áreas distintas a las de esta presentación.
","En principio no son necesarios mayores requerimientos técnicos que la pantalla para la exposición. En el caso que fuera posible sería interesante tener un adaptador para la pantalla de apple.
Cualquiera de los ponentes que expondrán probablemente son personas adecuadas para hablar, posiblemente mejor que yo, sobre los conceptos de análisis de datos. En mi caso propongo una charla fresca, con ese toque de humor, además de introducir conceptos tan en boga como los polímeros biodegradables y conceptos medioambientales. En definitiva esta es una charla algo menos convencional en este tipo de congresos pero que no dejará a nadie indiferente. ",Beginner,accepted,"[""Biopolimeros"", ""Numpy"", ""SciPy"", ""Matplotlib""]",science,es,Málaga,07/10/2018,14:30,14:55,
Rubén Crespo Cano,https://secure.gravatar.com/avatar/f1a096e44a0a874737e6d1979d16ef53?s=500,"Homo sapiens sapiens. Ingeniero de software diurno que se transforma en estudiante de doctorado cuando cae la noche.

Más formalmente, Ingeniero Informático y Máster en Ingeniería de Telecomunicación por la Universidad de Alicante. Estudiante del Doctorado en Informática por la Universidad de Alicante, donde trabajamos junto al Instituto de Bioingeniería de la Universidad Miguel Hernández en el desarrollo de un prototipo de neuroprótesis cortical, en el campo de la rehabilitación visual, para demostrar la viabilidad de restaurar el sentido visual –de forma limitada– gracias a una neuroprótesis interconectada con la corteza visual. ",rcrespocano,https://about.me/rubencrespocano,YADLRetina: Yet Another Deep Learning Retina,Un desafío central en la neurociencia es comprender los procesos computacionales llevados a cabo por las células de la retina. Este estudio demuestra que las CNN capturan con precisión las respuestas de la retina y proporcionan información sobre la estructura y función interna de los circuitos.,"La retina de los vertebrados está formada por distintos circuitos neuronales compuestos por varios tipos de células diferentes, cada uno con su propio rol y su característica particular de respuesta ante estímulos visuales. Dichas neuronas están dispuestas en tres capas celulares distintas que definen entre ellas dos interfaces de conexión que llamamos capas sinápticas [1].

Por otra parte, uno de los principales objetivos de la neurociencia es comprender cómo se codifica la información visual en la retina por parte de las neuronas que la forman. Además, las enfermedades que afectan a la visión, como la retinosis pigmentaria o la degeneración macular asociada a la edad, tienen una incidencia cada vez más acusada año tras año en personas de todo el mundo. Esto define el enorme desafío para nuestra sociedad de dar solución a estos problemas, mediante el uso de terapias genéticas y neuroprótesis visuales [2]. Es por ello que es muy importante disponer de modelos computacionales de la retina, para conocer más su estructura y funcionamiento así como para poder ser utilizados en neuroprótesis visuales.

En este estudio se presenta un **modelo computacional de la retina** que se encarga de transformar estímulos visuales en patrones de disparo de potenciales de acción de manera precisa. Se aborda el problema del entrenamiento de modelos neuronales de células ganglionares de la retina (RGC) así como de grupos de células ganglionares, todo ello haciendo uso de registros electrofisiológicos de ratones. De manera específica, se modelan **redes neuronales convolucionales (CNN)** para aprender a predecir las respuestas neuronales de RGC individuales y poblaciones de éstas ante un estímulo de ruido natural. Los modelos se han desarrollado haciendo uso de los **frameworks TensorFlow y Keras para Python**. Los resultados muestran que las CNN pueden ser utilizadas de manera efectiva para modelar y aprender los procesos computacionales llevados a cabo en la retina en forma de redes neuronales multicapa similares a los circuitos neuronales de la misma.

1. Kolb H, Fernandez E, Nelson R, editors. Webvision: The Organization of the Retina and Visual System [Internet]. Salt Lake City (UT): University of Utah Health Sciences Center; 1995. Available from: https://www.ncbi.nlm.nih.gov/books/NBK11530/
2. Fernández, E. and Normann, R. A. (2017). CORTIVIS Approach for an Intracortical Visual Prostheses (Cham: Springer International Publishing). 191–201. doi:10.1007/978-3-319-41876-6 15",,Intermediate,accepted,"[""Python"", ""Deep Learning"", ""Convolutional Neural Networks"", ""Neural Coding"", ""Retinal Model"", ""Visual Neuroprostheses"", ""CNN"", ""Machine Learning""]",ml,es,Ebury,07/10/2018,12:30,12:55,
Sara Rodríguez López,https://secure.gravatar.com/avatar/181a0a0d9e65f5c3f1dc410c0cd5f19c?s=500,"Ingeniera de teleco de carrera y Data Scientist de profesión. Mis primeros pinitos en el mundo de los datos fueron con R pero me enamoró Python.  Soy un culo inquieto. Me encanta viajar, bailar, la montaña, o leer un buen libro haciendo la fotosíntesis al sol. ",,https://es.linkedin.com/in/sararodriguezlopez,Web scraping para principiantes,¿Cuántas veces has tenido que enriquecer tu base de datos y has acabado descargando csvs del INE? ¿O has deseado una API para descargar datos de esa web y te has dado por vencido?  Aprenderemos a trabajar con Beautiful soup y Selenium y ¡no habrá dato que no puedas incluir en tu tablón de análisis!,"No siempre hay una API que nos facilite descargar datos de una web… ¡Pero hay alternativas! Aprenderemos Beautiful Soup, que nos facilita la vida y nos permite transformar la información desestructurada de los HTML en amigables tablas. Haremos unos primeros pinitos en Selenium, inicialmente creada para el testeo de web, pero que nos permite interaccionar con nuestro navegador y hacer web scraping dinámico. Después de esto ¡todos pensarán que haces magia!  ","Requerimientos técnicos: python instalado, pandas, selenium y beautiful soup, instalados, conocimientos básicos de Python ( al menos conocer las listas y saber manejarse en un dataframe de pandas).
Ingeniera de teleco de carrera y Data Scientist de profesión. Mis primeros pinitos fueron con R pero me enamoró Python. En mi empresa ya he dado varias formaciones de Python con éxito y esta sería una buena forma de romper las barreras de la empresa y divulgar lo que he ido aprendiendo a la comunidad Python. Soy un culo inquieto, me encanta viajar, bailar, la montaña, o leer un buen libro haciendo la fotosíntesis al sol.
",Beginner,accepted,"[""beautiful soup"", ""web scraping"", ""selenium""]",web,es,PSF,06/10/2018,17:30,17:55,
David Núñez,https://secure.gravatar.com/avatar/450638d7d14d9bf539405bd6f1b5f194?s=500,"I work as Cryptographer at NuCypher. Previously, I was a researcher at University of Málaga (UMA), where I got a PhD in Computer Science. My research is focused in the use of advanced and emergent cryptography to solve challenging problems. I've been working with Python for less than a year, but I've already fallen in love with it.

https://www.linkedin.com/in/davidnunezmontanez/",david__nunez,http://www.nucypher.com,Using Python to build a data privacy layer for decentralized applications,"We'll talk about NuCypher, a network to empower privacy in decentralized systems through the use of proxy re-encryption, and how we use Python to make it happen: from creating our very own cryptosystem to interacting with the Ethereum blockchain (and everything else in between).","In this talk, we'll go through our project called NuCypher, a network to empower privacy and data confidentiality in decentralized systems based on the use of advanced cryptographic techniques. In particular, we use ""proxy re-encryption"", a special type of cryptosystem that allows to delegate decryption rights of encrypted information. Nodes in our network provide a cryptographically-enforced access control service that allows users to securely share information with others, but in such a way that nodes are completely oblivious to the data that is encrypted: at no point nodes can read anything.

We'll cover how Python has enabled the vast majority of our implementation, from constructing a low-level library for elliptic curve arithmetic on top of cryptography.io, to interacting with the Ethereum blockchain with py-geth and web3.py. Finally, you'll see a practical example of the use of pyUmbral, our cryptographic library (https://github.com/nucypher/pyUmbral), and a live demo of how to share data securely with the NuCypher network.","We can give the talk in English, Spanish or both, whatever you think it's best for the audience. I'm from Malaga and will be the main speaker, but probably other colleagues from the US will come to the conference.",Intermediate,accepted,"[""security"", ""cryptography"", ""blockchain"", ""decentralization""]",sec,en,PSF,07/10/2018,15:30,15:55,
Antonio Vilches,https://secure.gravatar.com/avatar/54a28c9e439248b49232b01d2041bd99?s=500,"Antonio Vilches finalizó sus estudios de Ingeniería Informática en 2012, y su Doctorado en 2016, ambos en la Universidad de Málaga. Después de finalizar sus estudios de Ingeniería Informática, Antonio empezó a trabajar en William Hill en un proyecto con web services de alta demanda, donde desarrollaba una capa de servicios que era usada por millones de personas. Años después, una vez acabó el doctorado, comenzó a trabajar en ITRS donde estuvo trabajando en el análisis de rendimiento de una plataforma de Big Data en streaming que ofrecía analíticas en tiempo real. Desde el inicio de este año, Antonio se encuentra trabajando en una start-up llamada Shapelets, en la que colabora con el desarrollo del la librería Khiva.

Aparte de disfrutar de la programación en C, C++ y Python, Antonio también disfruta jugando al baloncesto y quedando con sus amigos en los bares de Málaga.",shapelets,https://www.shapelets.io,Khiva: Cómo Al Juarismi reventaba GPUs para analizar time-series,"En esta charla ofreceremos una introducción a analíticas de time series a través de algoritmos ejecutados en GPU y en CPU.
Veremos como usar Python para analizar series de datos de consumo energético de diferentes establecimientos y extraer conocimiento de ellos mediante el uso de la librería Khiva.","Durante las últimas décadas del siglo XX el mundo académico llevó a cabo numerosas investigaciones y desarrollos relacionados con el análisis de time series (TS). Sin embargo, no es hasta estos últimos años en los que la industria se ha lanzado al análisis y cómputo masivo de este tipo de datos.
El auge del Internet de la Cosas y la necesidad de analizar y monitorizar datos en los que el tiempo no es una simple métrica más, sino el eje principal sobre el que versan otras variables es lo que ha puesto el foco de atención en el análisis de time series. Esta nueva demanda de cómputo debe ser acompasada por las últimas generaciones de procesadores, (multicore y GPUs), así como en el desarrollo de tecnologías de Big Data y de computación distribuida, las cuales proporcionan los medios para tratar estos grandes volúmenes de datos en tiempo real suave.

En el contexto de Python, en la actualidad existen algunas librerías que ofrecen funciones para analizar time series. Si nos centramos en librerías de pre-procesamiento, encontramos librerías como Pandas [1] y tspreprocess [2], las cuales ofrecen funciones para la carga y almacenamiento de TS, además de funciones de conversión, resampling y desplazamiento de tiempo. Por otro lado, encontramos las librerías Prophet [3], PyFlux [4] y Pyramid [5], que nos ofrecen funciones de forecasting para predecir futuros valores en una time series. Por último, hay otro grupo de librerías como, tsfresh [6], tslearn [7] y shapelets [8] que generan clasificadores y regresores para time series.
A pesar de la existencia de estas librerías que tratan time series, observamos principalmente dos limitaciones: 1) La funcionalidad que ofrecen estas librerías se encuentra muy fragmentada en librerías inconexas y 2) la mayoría de estas librerías son secuenciales, es decir, se ejecutan en un único thread, por lo que no son capaces de sacar ventaja de los procesadores paralelos como GPUs o CPUs multicores.

Para superar las dos limitaciones anteriores, presentamos Khiva [9], una librería opensource que permite la ejecución de una larga lista de algoritmos de análisis de time series sobre GPUs. Khiva incorpora algoritmos de reducción de dimensionalidad, cálculo de distancias, normalización, regresión, regularización, extracción de características, estadísticos descriptivos, búsqueda de patrones, etc. Para la implementación de todos los algoritmos hemos usado la librería Arrayfire [10] como capa de abstracción de las principales APIs de GPUs para cómputo, OpenCL [11] y Nvidia CUDA [12]. De esta forma, somos capaces de asegurar que la librería Khiva se puede ejecutar en cualquier plataforma independientemente de la GPU que se encuentre disponible. Además de la aceleración del tiempo de ejecución, otra de las principales ventajas que proporciona Khiva, es que la mayoría de los algoritmos mencionados son concatenables. Debido a que implementamos una estrategia lazy para las transferencias de memoria entre CPU y GPU, así solo se transfieren datos entre CPU y GPU si es estrictamente necesario, por lo que evitamos todas aquellas transferencias que son innecesarias.

Durante la charla, ofreceremos una introducción a las time series y a los problemas que se pueden resolver con el tratamiento de éstas. Posteriormente, presentaremos los aspectos de implementación más importantes, aquí profundizaremos en los mecanismos que hemos usado para ejecutar nuestros algoritmos en GPU y finalizaremos con una sencilla demostración en Python (live coding), utilizaremos Khiva para analizar un conjunto de datos de consumo energético para encontrar patrones comunes entre ellos.

Works Cited

[1] ""Pandas Library Documentation,"" [Online]. Available: https://pandas.pydata.org/pandas-docs/version/0.22.0/timeseries.html. [Accessed 04 06 2018].

[2]         ""tspreprocess,"" Maximilian Christ, [Online]. Available: https://github.com/MaxBenChrist/tspreprocess. [Accessed 04 06 2018].

[3]         ""Prophet,"" Facebook, [Online]. Available: https://github.com/facebook/prophet. [Accessed 20018 06 04].

[4]         ""PyFlux,"" Ross Taylor, [Online]. Available: https://github.com/RJT1990/pyflux. [Accessed 04 06 2018].

[5]         ""Pyramid,"" Taylor G Smith, [Online]. Available: https://github.com/tgsmith61591/pyramid. [Accessed 04 06 2018].

[6]         ""tsfresh,"" Blue-yonder, [Online]. Available: https://github.com/blue-yonder/tsfresh. [Accessed 04 06 2018].

[7]         ""tslearn,"" Romain Tavenard, [Online]. Available: https://github.com/rtavenar/tslearn. [Accessed 04 06 2018].

[8]         ""shaplets-python,"" Mohamed Abdulaziz Ali Haseeb, [Online]. Available: https://github.com/mohaseeb/shaplets-python. [Accessed 04 06 2018].

[9]         ""Khiva Library,"" Shapelets.io, [Online]. Available: https://github.com/Shapelets/Khiva. [Accessed 04 06 2018].

[10] ""Arrayfire Documentation,"" ArrayFire, [Online]. Available: https://arrayfire.org/docs/index.htm. [Accessed 04 06 2018].

[11] ""OpenCL,"" Khronos Group, [Online]. Available: https://www.khronos.org/opencl/. [Accessed 04 06 2018].

[12] ""Nvidia Cuda,"" Nvidia, [Online]. Available: https://developer.nvidia.com/cuda-toolkit. [Accessed 04 06 2018].

",,All,accepted,"[""gpu"", ""time-series"", ""analytics"", ""algorithms""]",ml,es,Ebury,06/10/2018,15:00,15:25,
Agustín Herranz Cecilia,https://secure.gravatar.com/avatar/dbe2606956fb426f65787ca3c2afbb8b?s=500,,tinproject,https://agus.tinproject.es/,Instrumenta tu app con Prometheus,¿Algo se rompe en tu sistema y no sabes por qué? Es hora de incrementar la visibilidad sobre él. En esta charla te contaré que es Prometheus y como puede ayudarte a mejorar la observabilidad de tus apps usando su cliente para Python.,"¿Algo se rompe en tu sistema y no sabes por qué? Es hora de incrementar la visibilidad sobre él. En esta charla te contaré que es Prometheus y como puede ayudarte a mejorar la observabilidad de tus apps usando su cliente para Python.

Hablaremos de por que son interesantes la visibilidad y la observabilidad en un sistema, de los diferentes tipos de instrumentación, de como Prometheus nos ayuda a la hora de recolectar métricas, y, de como usando el cliente Python de Prometheus en nuestras aplicaciones y servicios podemos exponer métricas que nos ayuden a mostrar el estado de nuestro sistema/producto.","Los objetivos de esta charla son:

- Transmitir la importancia de la visibilidad y observabilidad en un sistema.
- Dar una visión general de Prometheus como _toolkit_ de recolección/exposición de métricas.
- Mostrar un ejemplo de como podemos instrumentar nuestra app/servicio para exponer métricas propias.
- Dar referencias para que quien lo desee pueda ampliar sobre el tema.
- Si queda tiempo (cosa complicada), responder preguntas y dudas.

Notas:

- Necesitaría conexión VGA o conocer de antemano que tipo de conexión esta disponible.

¿Por que yo?:

- He trabajado en la parte de infraestructura de una startup con fuerte uso de Prometheus.
- Me encanta Python.",All,accepted,"[""DevOps"", ""Prometheus"", ""Metrics"", ""Visibility"", ""Observability""]",dev,es,Málaga,06/10/2018,11:00,11:25,
Eulàlia Veny,https://secure.gravatar.com/avatar/a87b21016dc32b751adf7f1c2bd133cc?s=500,,,,Evaluation of text analysis in social media: a linguistic approach,"Companies invest a lot of money in trying to improve the methods and algorithms used to perform sentiment analyses in customers opinions. I will review the techniques used in opinion mining and sentiment analyses, but I'll provide a linguistic approach to the topic.","The analysis of text data is gaining more and more importance every day. The need for companies to know what people think and want is key to invest money in providing customers what they want. The first approach to text analysis was statistical but adding linguistic information has been proven to work well for improving the results.

One of the problems that you need to address when analyzing social media is time. People are constantly exchanging information, users write comments every day about what they think of a product, what they do or the places they visit. It is difficult to keep track of everything that happens. Moreover, information is sometimes expressed in short sentences, keywords, or isolated ideas, such as in Tweets. Language is usually unstructured because it is composed of isolated ideas, or without context.

I will talk about the problem of opinion in opinion mining: how do we define opinion. I will also explain briefly how Naïve Bayes classifiers can be useful in sentiment analysis and I will use an example to show how linguistic information can help improve the trainings. I will also evaluate the results and compare them to the results of training without any linguistic information (i.e. supervised vs unsupervised learning).

I will also explain about opinion lexicons, both dictionary based and corpus-based, and about using lexicons for semi-supervised learning and supervised learning. If I have time left, I will explain about other use cases of text analysis, such as spam detection.",,Beginner,accepted,"[""nlp"", ""python"", ""casestudio"", ""notebook""]",ml,en,Ebury,06/10/2018,15:30,15:55,
Ale Solano,https://secure.gravatar.com/avatar/8580200a6a0c6d43d4510a650b53d645?s=500,"Hey! I'm a (brand new) former student of Robotics at Universidad de Málaga, very interested in deep learning, robotics and SELF DRIVING CARS. I've talked at Europython, PyCon Poland and several meetups, and attended a couple more of them, including PyCon ES. I love an intense discussion about pop music, football or Steven Pinker. My friends say I'm funny.",asolanopf,,Deep Learning will Beat you in a Kung-Fu Battle,Imagine yourself trying up new clothes without going to the shop; raising your hand waiting for a self-driving taxi to pick you up; feeling tired at home and taking a sit on the air just to see how a robotic chair appears under your butt. Human Pose Estimation makes this possible.,"Robots are coming. Whether they come as humanoids, home assistants or self-driving cars, they are coming. They are coming out from the orderly, synthetic and isolated manufacturing plants to the chaotic, evolutionary and interactive real world. And it's this interaction what will separate machines between lifeless appliance and sociable robots. Understanding both verbal and non-verbal communication is the last layer of robotic development, though it may be one of the most challenging.

Human Pose Estimation is the problem of localizing human body parts -such as hands, eyes or feet- from just a single RGB camera, like the one you use in your smartphone. Solving this problem would mean a robot could understand your movements, predict your next action and, eventually, beat you in a Kung-Fu battle. Deep learning is our best ally here. Its ability to process images, grasp its content and improve with experience has helped remarkably to make Human Pose Estimation a reality.

Throughout this talk we'll explore the problem of Human Pose Estimation, how deep learning has revolutionized the field and how it will impact our everyday life. Live demos assured!","My bachelor's thesis -finished yesterday, at the Universidad de Málaga- dealt with the problem of integrating into a real robot a neural network trained for solving Human Pose Estimation. The main purpose was to make a real robot understand where exactly its surround people are and what they are doing, just using an RGB camera. Throughout the process I've found it a very interesting topic to talk about, as it involves deep learning, robotics... and Python. I've made talks on TensorFlow in Europython 2017 and PyCon Poland 2017, along with presentations in the Málaga Python meetup. I wish I can keep contributing to the community.",All,accepted,"[""Deep Learning"", ""Robotics"", ""Computer Vision"", ""TensorFlow"", ""OpenCV"", ""ROS""]",ml,en,Ebury,07/10/2018,11:30,11:55,
Devanshi Verma,https://papercallio-production.s3.amazonaws.com/uploads/user/avatar/30141/20180413224636503__2_.png,"Hi, I am Devanshi! I am the quintessential millennial with an Engineering Degree. Prior to this, I have worked in different verticals of data science ranging from Geospatial Data Science at GIC, AIT Thailand (who work with JAXA, United Nations, and World Bank) to social media where I have published a research paper in an International Journal. But wait there's more to me. I love challenges and working outside of my comfort zone. Even though my degree included subjects like electronics, instrumentation, and control, I indulged myself in different fields like data science, research, and analytical work. With such talks, I want to spread the power of self-learning and I hope to inspire people to get started with machine learning in python.",thisisdevanshi,https://www.facebook.com/thisisdevanshi,Classification of Satellite images using Machine Learning with python,Satellite images are a reminder about our planet and the science of Earth observation. It's not just about appreciating the beauty but also about finding meaningful insights from them. Let’s learn about some machine learning techniques and do some Land Cover Classification with help of Python!,"Have you ever worked with geospatial data with python? Mckinsey estimates that economic value of big geospatial data could reach $700 billion/yr by 2020. Working with Satellite images is absolutely fantastic. It is a reminder about our planet and the science of Earth observation. It's not just about appreciating the beauty in these images but also about finding meaningful insights from them. Are you excited about learning new stuff? This talk aims for beginners who are starting with Machine Learning and are ready to learn. We will have some live coding and do some Land Cover Classification.

In this workshop we will learn and use the following libraries and tools :

1)Scikit Learn
2)GDAL
3)Numpy
4)Jupyter
5)Pandas
6)Matplotlib.

In this workshop, I will explain about these items, how it’s useful and why we should use it. The audience will learn about basics of Satellite images, different types of classifications in satellite images, Land Cover classification and more using a few Machine Learning Algorithms in Python. ","In this talk, we will learn and use Scikit Learn, GDAL, Numpy, Jupyter, Pandas, and Matplotlib to classify satellite images. This summer I worked at GIC, AIT Thailand (who work with JAXA, United Nations, and World Bank)  under the guidance of a Ph.D. from University of Tokyo. With this workshop, I want to spread the knowledge about the things I learned and hope that this can be useful for them as well.

I don’t have a background in remote sensing or even Geography. I am an Engineer. So as a self-learner I will have a better understanding of the problems that people are having than a person with such a  degree because while learning I might have faced the same problem whereas someone from this field might take such nuances for granted.",All,waitlist,"[""data science"", ""Geographic Information Systems"", ""machine learning"", ""sklearn"", ""gdal"", ""satellite images"", ""Python""]",,,,,,,
Cristóbal García,https://secure.gravatar.com/avatar/6df92165478a13b4993729ab96b423bc?s=500,"I have been working for a more than fifteen years with all sorts of software companies and service providers. Within them, I have been fortunate enough to enjoy a variety of positions ranging from software and infrastructure engineer, infrastructure team manager or agile coach.
At the moment I have my own company which enables organizations to become more effective through the adoption of agile engineering practices.",xtblg,https://tolvur.es,Manage your product roadmap with pytest,"How to avoid using JIRA for the management and communication of the roadmap, turning the backlog elements into source code through a few conventions and a pytest plugin that allows us to visualize the User Story Map and its evolution in an effective way.","Nowadays, it is very common to use issue-trackers such as JIRA, Pivotal Tracker, etc. to manage the product roadmap. Although these tools have, of course, their usefulness, they are not usually popular within the technical teams. The price to pay for its flexibility, its point-and-click interfaces and its reporting capabilities is that the source code and requirements live in separate locations and the version control cycles are completely different. Also, changes in the backlog items need to be monitored to ensure that they are propagated to source code. Last but not least, there are two sources of truth when we must report the backlog status to stakeholders or when we want to plan the next releases: what our code and tests say and what our project management tool says.

In this talk, we intend to demonstrate that a technical team can, when considering that an project management tool is getting in their way, eliminate it from the daily work without losing visibility of the project's status. All of this through some well-known test-first techniques and the use of a tool like pytest, easily adaptable to meet the backlog management needs of a product team. Initiatives like these, when resulting from an inspection and adaptation cycle, are just what the agile mindset and the agile engineering are about.
 ","This talk will explain how a development team that struggled a little bit with the roadmap management tool, built a simple pytest plugin that made their life easier when managing a small project. This was a result of an agile mindset.

The plugin will be probably made public just before the  PyCON starts.

BTW, the website in the personal details is not yet public.
",All,declined,"[""pytest"", ""agile""]",,,,,,,
